step,loss,real_crps,synth_ed,steps/s
24700,-0.206248,0.047116,0.004128,4.159949
24750,-0.214691,0.044922,0.004094,4.160001
24800,-0.209540,0.045548,0.004075,4.160036
24850,-0.214407,0.044344,0.004063,4.160021
24900,-0.214027,0.045146,0.003959,4.159933
24950,-0.208700,0.045589,0.004208,4.159933
25000,-0.211858,0.045580,0.004049,4.159978
25000,0.037992,-1.246055
25050,-0.208916,0.045809,0.004060,4.159944
25100,-0.212854,0.045186,0.004115,4.160026
25150,-0.208474,0.046092,0.004040,4.160035
25200,-0.209809,0.045851,0.003992,4.160102
25250,-0.207671,0.046288,0.004115,4.160092
25300,-0.208398,0.046062,0.004109,4.160097
25350,-0.207245,0.046494,0.004080,4.160140
25400,-0.211006,0.044933,0.004106,4.160159
25450,-0.210035,0.045860,0.003977,4.160138
25500,-0.211034,0.045692,0.004021,4.160117
25500,0.037990,-1.246055
25550,-0.214985,0.044311,0.004013,4.160039
25600,-0.209399,0.045993,0.004113,4.160065
25650,-0.207400,0.046250,0.004070,4.160120
25700,-0.206956,0.046469,0.004072,4.160171
25750,-0.202907,0.047457,0.004059,4.160195
25800,-0.207717,0.046215,0.004067,4.160176
25850,-0.209922,0.045324,0.004118,4.160216
25900,-0.209614,0.045354,0.004199,4.160266
25950,-0.210378,0.045449,0.004066,4.160283
26000,-0.208072,0.045992,0.004040,4.160288
26000,0.037992,-1.246055
26050,-0.206180,0.046601,0.004098,4.159906
26100,-0.211031,0.045421,0.004119,4.159897
26150,-0.211329,0.045068,0.004051,4.159920
26200,-0.213723,0.045049,0.004102,4.159853
26250,-0.203422,0.047440,0.004038,4.159869
26300,-0.207942,0.046299,0.004117,4.159898
26350,-0.206144,0.046751,0.004020,4.159868
26400,-0.208682,0.046166,0.004093,4.159819
26450,-0.206236,0.046388,0.004029,4.159789
26500,-0.206168,0.046881,0.004099,4.159778
26500,0.037978,-1.246055
26550,-0.210619,0.045217,0.004042,4.159672
26600,-0.205255,0.046673,0.004025,4.159688
26650,-0.206428,0.046202,0.003989,4.159654
26700,-0.208061,0.046289,0.004032,4.159642
26750,-0.204886,0.047462,0.004011,4.159581
26800,-0.213251,0.044995,0.004098,4.159590
26850,-0.211494,0.045518,0.004084,4.159534
26900,-0.209789,0.045283,0.004043,4.159564
26950,-0.216810,0.043954,0.004026,4.159613
27000,-0.206941,0.046021,0.004031,4.159647
27000,0.037975,-1.246055
27050,-0.210005,0.045817,0.004033,4.159624
27100,-0.210099,0.045768,0.003995,4.159685
