step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
10500,2,0.000265,-7.746520,-1.544684,0.290549,0.033715,-1.564662,0.160287,0.130262,0.945195,0.002691,0.043259,1.000000,22.500542,19.549643,25.575915,3.356359,0.010403,0.005575
10600,2,0.000265,-5.553382,-1.546265,0.296299,0.033647,-1.565898,0.172139,0.124160,0.942930,0.002437,0.043419,1.000000,19.226222,19.552863,25.486464,3.384530,0.009365,0.004779
10700,2,0.000264,-5.353034,-1.542585,0.307031,0.033861,-1.562319,0.166322,0.140710,0.945859,0.002148,0.043389,1.000000,16.325056,19.556258,25.396815,3.269668,0.009345,0.004177
10800,2,0.000263,-4.677801,-1.537732,0.278815,0.034319,-1.558188,0.167539,0.111276,0.942695,0.002482,0.044075,1.000000,16.852301,19.559920,25.306852,3.328673,0.010989,0.006271
10900,2,0.000262,-5.250973,-1.532766,0.380387,0.034460,-1.553306,0.157630,0.222757,0.947031,0.002762,0.043731,1.000000,53.438615,19.563520,25.217003,3.350829,0.011034,0.006339
11000,2,0.000261,-6.230865,-1.546893,0.225803,0.033531,-1.566232,0.158811,0.066992,0.945820,0.002785,0.043535,1.000000,51.115030,19.567054,25.127271,3.331836,0.008577,0.005556
11100,2,0.000261,-5.957668,-1.550746,0.234178,0.033454,-1.570190,0.169021,0.065157,0.942695,0.003300,0.042731,1.000000,25.434796,19.570522,25.037656,3.242962,0.009053,0.006908
11200,2,0.000260,-5.942162,-1.537989,0.323169,0.034333,-1.558588,0.158761,0.164408,0.945547,0.003173,0.043509,1.000000,20.665512,19.573595,24.948577,3.333156,0.011440,0.006846
11300,2,0.000259,-7.096198,-1.534989,0.215895,0.034543,-1.555700,0.156680,0.059215,0.946836,0.003023,0.044316,1.000000,191.549583,19.576827,24.859323,3.368490,0.011466,0.005439
11400,2,0.000258,-6.302570,-1.545979,0.229367,0.033852,-1.565841,0.157962,0.071405,0.947109,0.002231,0.043565,1.000000,476.072362,19.579850,24.770363,3.369664,0.009788,0.004314
11500,2,0.000257,-8.502337,-1.540296,0.224836,0.033803,-1.559820,0.167925,0.056912,0.943242,0.002303,0.043283,1.000000,70.446198,19.583143,24.681091,3.367657,0.008742,0.004550
11600,2,0.000256,-7.802114,-1.539471,0.284280,0.034077,-1.559398,0.169324,0.114956,0.945820,0.002633,0.043791,1.000000,54.572531,19.586297,24.592024,3.236152,0.009628,0.004772
11700,2,0.000256,-5.949145,-1.536707,0.280510,0.034047,-1.556906,0.157041,0.123469,0.946914,0.002355,0.043643,1.000000,206.350443,19.589407,24.503039,3.328008,0.010584,0.004519
11800,2,0.000255,-5.085521,-1.545734,0.339941,0.033770,-1.565620,0.176864,0.163078,0.941953,0.002720,0.043347,1.000000,31.022508,19.592536,24.414060,3.357144,0.010004,0.006700
11900,2,0.000254,-7.667519,-1.539990,0.216023,0.033767,-1.559530,0.160228,0.055796,0.946680,0.003166,0.043535,1.000000,135.154407,19.595606,24.325181,3.357749,0.008853,0.006037
12000,2,0.000253,-7.735431,-1.530705,0.278511,0.034305,-1.550628,0.169344,0.109167,0.944258,0.002300,0.043799,1.000000,94.896714,19.598615,24.236406,3.308513,0.009236,0.005007
12100,2,0.000252,-6.617853,-1.537110,0.235533,0.033853,-1.556673,0.163594,0.071940,0.945469,0.002587,0.043775,1.000000,83.468671,19.589073,24.163131,3.344948,0.008789,0.004721
12200,3,0.000251,-8.678327,-1.543869,0.266722,0.033676,-1.563307,0.155889,0.110833,0.948242,0.002522,0.043061,1.000000,410.605177,19.576176,24.093912,3.325952,0.008666,0.004026
12300,3,0.000250,-7.534047,-1.539600,0.278540,0.033960,-1.559235,0.168001,0.110539,0.944531,0.002724,0.043844,1.000000,149.058374,19.579108,24.005179,3.367735,0.008850,0.004491
12400,3,0.000249,-7.928344,-1.534087,0.255099,0.033949,-1.553944,0.166285,0.088814,0.944883,0.002467,0.043992,1.000000,284.914952,19.581822,23.916739,3.492275,0.009608,0.005017
