step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu
9000,2,0.000297,0.240582,-0.054618,1.968000,0.007465,-0.679172,1.845854,0.122146,0.222695,0.028685,0.097494,2.216482,0.369766,5.096656,353.761372,24.527614
9100,2,0.000297,0.241444,-0.054358,1.972009,0.007453,-0.676683,1.849756,0.122253,0.217891,0.028405,0.095857,2.280426,0.405277,5.099805,353.216088,25.168459
9200,2,0.000297,0.243408,-0.053318,1.978167,0.007489,-0.667457,1.853412,0.124755,0.215703,0.032458,0.098596,2.257489,0.368865,5.102870,352.677337,25.899631
9300,2,0.000297,0.241325,-0.054848,1.974481,0.007516,-0.682114,1.852865,0.121617,0.218125,0.026403,0.102205,2.309394,0.358363,5.105666,352.157765,26.641927
9400,2,0.000297,0.242191,-0.053398,1.970593,0.007540,-0.669236,1.846778,0.123815,0.222969,0.025920,0.100482,2.362915,0.331760,5.108258,351.652836,27.579868
9500,2,0.000297,0.241332,-0.054811,1.974287,0.007440,-0.681270,1.852244,0.122043,0.220312,0.036038,0.098912,2.425881,0.340022,5.110993,351.138554,28.598620
9600,2,0.000297,0.240673,-0.055066,1.971597,0.007418,-0.682694,1.848607,0.122989,0.222188,0.030782,0.098859,2.476081,0.300745,5.113535,350.638068,29.913098
9700,2,0.000297,0.240248,-0.054865,1.967422,0.007456,-0.681680,1.847359,0.120063,0.223242,0.041042,0.100542,2.490650,0.367322,5.116053,350.139731,31.219706
9800,2,0.000297,0.241269,-0.054067,1.968907,0.007578,-0.675220,1.846828,0.122079,0.223672,0.033546,0.100805,2.425281,0.336562,5.119456,349.581411,32.716152
9900,2,0.000297,0.240356,-0.055629,1.973229,0.007436,-0.688767,1.851631,0.121598,0.218164,0.029871,0.101284,2.434559,0.361387,5.120861,349.160032,35.513001
10000,2,0.000296,0.239454,-0.055436,1.965938,0.007444,-0.686737,1.844656,0.121281,0.223867,0.030372,0.101626,2.433620,0.368804,5.123831,348.632346,37.444976
10000,0.006005,0.007306,0.008614,-0.057956,0.007280,-0.708973,0.071127,0.232910,0.124771,2.414129,0.021802,0.103308,38.690004
10100,2,0.000296,0.241527,-0.053844,1.969141,0.007467,-0.672539,1.847933,0.121208,0.219180,0.038367,0.104695,2.392560,0.352357,5.123829,348.307243,39.255443
10200,2,0.000296,0.239646,-0.055267,1.966086,0.007299,-0.684419,1.843635,0.122451,0.225586,0.035818,0.104582,2.382536,0.483469,5.126267,347.816466,40.189837
10300,2,0.000296,0.240010,-0.055637,1.970985,0.007255,-0.687193,1.847796,0.123189,0.219961,0.037593,0.106235,2.378282,0.689590,5.129734,347.256481,41.018963
10400,2,0.000296,0.238815,-0.056334,1.967656,0.007036,-0.691545,1.846984,0.120672,0.227695,0.035936,0.105804,2.386461,0.508833,5.131639,346.802771,41.339409
10500,2,0.000296,0.236530,-0.057555,1.960563,0.006303,-0.696899,1.845859,0.114704,0.225273,0.038313,0.106689,2.436446,0.561283,5.134142,346.309054,41.273028
10600,2,0.000296,0.235115,-0.058527,1.957612,0.006048,-0.703407,1.849416,0.108196,0.228711,0.037622,0.103642,2.373613,0.420594,5.136632,345.816725,41.606983
10700,2,0.000296,0.234204,-0.059696,1.959331,0.005886,-0.713405,1.847136,0.112195,0.228125,0.044380,0.105645,2.362416,0.464440,5.138925,345.338138,41.669831
10800,2,0.000296,0.231837,-0.060939,1.951840,0.005679,-0.723082,1.844670,0.107169,0.229063,0.048704,0.102870,2.323865,0.503868,5.140399,344.914872,41.899768
10900,2,0.000296,0.233595,-0.060715,1.962067,0.005670,-0.721655,1.849842,0.112225,0.223438,0.057573,0.105872,2.341411,0.503173,5.141965,344.485697,41.884543
11000,2,0.000296,0.234054,-0.059406,1.956398,0.005846,-0.710931,1.847596,0.108802,0.228125,0.051987,0.105886,2.320026,0.477454,5.142587,344.119929,41.892257
11100,2,0.000295,0.235320,-0.058793,1.960757,0.006005,-0.706001,1.846553,0.114204,0.225469,0.046855,0.106796,2.286267,0.921324,5.144603,343.661138,41.842161
11200,2,0.000295,0.238235,-0.058094,1.975525,0.006475,-0.703787,1.851920,0.123606,0.220898,0.038282,0.108574,2.306525,0.527889,5.146559,343.206637,41.807868
11300,2,0.000295,0.238528,-0.057072,1.970662,0.006623,-0.694921,1.848020,0.122642,0.219453,0.046863,0.112258,2.309209,0.427137,5.149373,342.695420,41.891983
11400,2,0.000295,0.238561,-0.056761,1.968810,0.006615,-0.692461,1.847549,0.121261,0.217148,0.042522,0.110905,2.332276,0.460804,5.150262,342.312691,41.966186
11500,2,0.000295,0.238033,-0.057263,1.968642,0.006535,-0.696331,1.848790,0.119852,0.220859,0.033281,0.113701,2.355926,0.436416,5.152888,341.814792,42.075787
11600,2,0.000295,0.238999,-0.057100,1.973992,0.006662,-0.695846,1.851510,0.122482,0.221406,0.043923,0.112070,2.380261,0.479009,5.153739,341.434964,42.061375
