step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min
9600,2,0.000297,0.374258,-0.317734,1.383596,0.064160,-0.763898,1.376862,0.006733,0.388594,0.125522,0.126902,1.804631,1.354316,4.591530,390.501657
9700,2,0.000297,0.364883,-0.323828,1.377722,0.064058,-0.775891,1.372232,0.005489,0.385781,0.125845,0.129878,1.862875,1.317539,4.591794,390.116193
9800,2,0.000297,0.371445,-0.320205,1.383054,0.064155,-0.768528,1.377101,0.005953,0.388594,0.137158,0.123792,1.842418,1.380543,4.591728,389.758835
9900,2,0.000297,0.367930,-0.323164,1.382479,0.063994,-0.774446,1.375522,0.006956,0.384531,0.125913,0.127403,1.917957,1.361764,4.591640,389.403390
10000,2,0.000296,0.365469,-0.326045,1.382795,0.063984,-0.779939,1.376496,0.006298,0.387891,0.130293,0.124035,1.805474,1.490298,4.591789,389.027786
10000,0.002257,0.003316,0.004051,-0.388858,0.003235,-0.784186,0.067349,0.360840,0.004070,1.764912,0.120729,0.124597
10100,2,0.000296,0.375684,-0.316221,1.383685,0.064099,-0.760739,1.377668,0.006017,0.385117,0.129072,0.130723,1.881990,1.351909,4.590516,388.772531
10200,2,0.000296,0.376719,-0.316016,1.385560,0.064141,-0.760406,1.379361,0.006199,0.391172,0.116865,0.130746,1.893598,1.424286,4.590573,388.404655
10300,2,0.000296,0.364355,-0.325889,1.380428,0.063940,-0.779776,1.374998,0.005429,0.390508,0.132246,0.124198,1.852580,1.342292,4.590793,388.023030
10400,2,0.000296,0.366406,-0.322344,1.377370,0.064033,-0.772674,1.372487,0.004883,0.390078,0.126846,0.131001,1.908879,1.213627,4.590916,387.649561
10500,2,0.000296,0.364629,-0.328340,1.385496,0.063901,-0.784450,1.380545,0.004951,0.382461,0.127744,0.129512,1.848597,1.315016,4.591089,387.271951
10600,2,0.000296,0.363223,-0.323066,1.372675,0.063931,-0.773880,1.367315,0.005360,0.395156,0.130127,0.122716,1.819408,1.394277,4.590966,386.919297
10700,2,0.000296,0.362656,-0.323750,1.372662,0.064058,-0.775634,1.366265,0.006397,0.395234,0.125552,0.129209,1.907804,1.373728,4.591107,386.544373
10800,2,0.000296,0.368711,-0.321289,1.380214,0.064067,-0.770755,1.374323,0.005891,0.390547,0.128936,0.127447,1.899750,1.417463,4.591033,386.187618
10900,2,0.000296,0.359707,-0.323701,1.366785,0.064094,-0.776032,1.361537,0.005249,0.395234,0.125708,0.126003,1.840503,1.322076,4.591136,385.815926
11000,2,0.000296,0.372773,-0.319404,1.384270,0.064111,-0.766921,1.378437,0.005833,0.386836,0.130264,0.128004,1.890852,1.310393,4.591059,385.459327
11100,2,0.000295,0.363984,-0.323906,1.375344,0.063904,-0.775636,1.369576,0.005767,0.395156,0.120522,0.131966,1.850572,1.403549,4.591274,385.078316
11200,2,0.000295,0.369492,-0.322539,1.383885,0.063970,-0.772907,1.378063,0.005822,0.389609,0.134424,0.124101,1.864826,1.345804,4.591481,384.697978
11300,2,0.000295,0.372227,-0.316758,1.378215,0.064231,-0.761890,1.372386,0.005829,0.389531,0.134224,0.124933,1.924259,1.389557,4.591695,384.317016
11400,2,0.000295,0.365742,-0.320625,1.373071,0.063940,-0.769210,1.368014,0.005056,0.393359,0.126592,0.125445,1.913336,1.308124,4.591737,383.950581
11500,2,0.000295,0.360605,-0.327715,1.376658,0.064136,-0.783688,1.371050,0.005608,0.389844,0.120615,0.129728,1.943250,1.307114,4.591883,383.575421
11600,2,0.000295,0.366328,-0.320996,1.374486,0.064189,-0.770347,1.369679,0.004807,0.394570,0.122012,0.128955,1.999801,1.301537,4.592017,383.201217
11700,2,0.000295,0.367637,-0.318613,1.373025,0.064031,-0.765404,1.367997,0.005028,0.389414,0.125459,0.125111,2.060929,1.239408,4.591943,382.844433
11800,3,0.000295,0.367520,-0.321230,1.377534,0.064099,-0.770352,1.372368,0.005166,0.393711,0.117427,0.126821,2.119908,1.285629,4.590759,382.580130
11900,3,0.000295,0.369453,-0.320615,1.380430,0.064136,-0.769329,1.374208,0.006223,0.390352,0.119136,0.126914,2.150085,1.361192,4.590940,382.202062
12000,3,0.000294,0.370039,-0.317344,1.375135,0.064160,-0.762969,1.369566,0.005569,0.390313,0.116084,0.127390,2.161773,1.422507,4.590892,381.843031
12000,0.003694,0.004083,0.004889,-0.391692,0.004230,-0.791843,0.066350,0.367676,0.005613,1.932037,0.120167,0.107593
12100,3,0.000294,0.361855,-0.324941,1.373771,0.064038,-0.777847,1.369053,0.004718,0.392930,0.116543,0.122545,2.078188,1.197869,4.590214,381.536294
12200,3,0.000294,0.366465,-0.322979,1.378693,0.063896,-0.773904,1.373451,0.005243,0.389922,0.117158,0.125230,2.110355,1.306205,4.590445,381.154012
12300,3,0.000294,0.363652,-0.322051,1.371379,0.064072,-0.772324,1.365774,0.005605,0.390547,0.119517,0.124946,2.095609,1.423824,4.590490,380.787240
12400,3,0.000294,0.366699,-0.321348,1.376351,0.064077,-0.771112,1.370524,0.005826,0.392188,0.115063,0.128247,2.096851,1.217571,4.590649,380.410978
12500,3,0.000294,0.366445,-0.319531,1.371853,0.064121,-0.767303,1.366721,0.005132,0.393086,0.120508,0.125198,2.092186,1.229090,4.590852,380.031146
12600,3,0.000294,0.361543,-0.324590,1.372687,0.063987,-0.777372,1.368111,0.004576,0.388594,0.121851,0.124400,2.101513,1.211080,4.590926,379.661973
12700,3,0.000294,0.364629,-0.324082,1.377161,0.064033,-0.776164,1.371610,0.005551,0.389453,0.124868,0.121543,2.123941,1.227323,4.590981,379.294412
12800,3,0.000294,0.362500,-0.325039,1.375564,0.064104,-0.778331,1.370326,0.005238,0.390547,0.119053,0.122734,2.172117,1.279081,4.591100,378.921524
12900,3,0.000293,0.370566,-0.318301,1.377449,0.064121,-0.765168,1.371791,0.005658,0.387813,0.121240,0.124812,2.190591,1.275500,4.591350,378.537891
13000,3,0.000293,0.370312,-0.319180,1.378907,0.064224,-0.766776,1.373063,0.005844,0.389102,0.123394,0.121045,2.094061,1.352602,4.591657,378.149586
13100,3,0.000293,0.368359,-0.321719,1.380329,0.064150,-0.771768,1.375495,0.004834,0.388164,0.129839,0.120604,2.064094,1.182700,4.591960,377.761682
13200,3,0.000293,0.368320,-0.320625,1.377893,0.063960,-0.769408,1.373089,0.004804,0.388906,0.132036,0.118129,2.061418,1.263891,4.592064,377.390215
13300,3,0.000293,0.368047,-0.319102,1.374442,0.064165,-0.766413,1.369304,0.005138,0.389336,0.132563,0.116522,2.063962,1.189726,4.592353,377.003552
13400,3,0.000293,0.369414,-0.320664,1.380479,0.064119,-0.769461,1.376051,0.004428,0.386719,0.127324,0.119983,2.103207,1.112165,4.592472,376.630852
13500,3,0.000293,0.363066,-0.323965,1.374307,0.064097,-0.776084,1.369213,0.005095,0.391914,0.124102,0.123882,2.054102,1.270409,4.592738,376.246143
13600,3,0.000293,0.358145,-0.327051,1.370338,0.064011,-0.782247,1.365442,0.004895,0.395078,0.132969,0.118762,2.015133,1.244925,4.592849,375.874174
13700,3,0.000292,0.367695,-0.319336,1.374077,0.064141,-0.766930,1.368827,0.005250,0.396680,0.136709,0.121218,2.051064,1.255658,4.593126,375.488677
13800,3,0.000292,0.366270,-0.321621,1.375577,0.063994,-0.771225,1.370600,0.004977,0.390078,0.129043,0.121193,2.052321,1.251601,4.593394,375.103932
13900,3,0.000292,0.353340,-0.331855,1.370742,0.063872,-0.791501,1.365323,0.005419,0.395742,0.128506,0.119599,2.112206,1.219807,4.593654,374.719838
14000,3,0.000292,0.365957,-0.321660,1.375247,0.064089,-0.771505,1.370118,0.005129,0.389688,0.138564,0.117971,2.187647,1.251183,4.593748,374.349406
14000,0.003626,0.005789,0.003847,-0.393626,0.004597,-0.796446,0.066021,0.379395,0.003773,2.116021,0.129749,0.123955
14100,3,0.000292,0.367637,-0.321895,1.378944,0.064019,-0.771857,1.373656,0.005288,0.390352,0.131221,0.122558,2.207401,1.259603,4.593050,374.043399
14200,3,0.000292,0.360566,-0.325098,1.371862,0.063999,-0.778236,1.366733,0.005130,0.396758,0.129009,0.119622,2.170591,1.229087,4.593313,373.659144
14300,3,0.000292,0.359551,-0.325840,1.370739,0.064102,-0.780076,1.365893,0.004847,0.393477,0.140962,0.115506,2.242365,1.202383,4.593583,373.274357
14400,3,0.000292,0.359453,-0.326172,1.371433,0.063862,-0.780031,1.366135,0.005298,0.394648,0.127422,0.120090,2.178993,1.240109,4.593835,372.891022
14500,3,0.000291,0.363223,-0.322451,1.371416,0.063835,-0.772788,1.366059,0.005357,0.390625,0.130693,0.119721,2.183525,1.271053,4.593890,372.523765
14600,3,0.000291,0.359980,-0.324980,1.369264,0.063979,-0.778050,1.364431,0.004833,0.396797,0.121719,0.120924,2.206649,1.183947,4.594146,372.140237
14700,3,0.000291,0.363438,-0.323516,1.373640,0.064055,-0.775130,1.368931,0.004709,0.395234,0.125161,0.117877,2.192701,1.168160,4.594234,371.770338
14800,3,0.000291,0.361895,-0.321543,1.366989,0.064062,-0.771083,1.362342,0.004646,0.394961,0.122900,0.121381,2.274449,1.173268,4.594470,371.388482
14900,3,0.000291,0.360625,-0.327148,1.375596,0.064106,-0.782501,1.370629,0.004967,0.396289,0.126572,0.114166,2.213231,1.233366,4.594566,371.018008
15000,3,0.000291,0.361758,-0.325703,1.374876,0.063945,-0.779316,1.369960,0.004915,0.392852,0.136226,0.113885,2.153975,1.188706,4.594786,370.637502
15100,3,0.000291,0.359648,-0.329766,1.378960,0.063926,-0.787093,1.373385,0.005574,0.388008,0.133047,0.120955,2.126256,1.253070,4.594245,370.318346
15200,3,0.000290,0.366563,-0.320664,1.374229,0.064111,-0.769634,1.369501,0.004728,0.389414,0.128081,0.129116,2.200922,1.086244,4.594341,369.947836
15300,3,0.000290,0.361641,-0.322578,1.368522,0.064009,-0.773318,1.362918,0.005604,0.395859,0.122314,0.128343,2.192064,1.277027,4.594544,369.568779
15400,3,0.000290,0.362734,-0.322109,1.369761,0.064053,-0.772370,1.364517,0.005244,0.397969,0.131460,0.123131,2.212630,1.174464,4.594763,369.188402
15500,3,0.000290,0.361895,-0.323135,1.369979,0.064102,-0.774766,1.364599,0.005380,0.395313,0.133711,0.120839,2.280410,1.269651,4.594970,368.809116
15600,3,0.000290,0.360078,-0.325430,1.370958,0.064038,-0.779254,1.365925,0.005032,0.395352,0.133320,0.115410,2.305237,1.221216,4.595012,368.443028
15700,4,0.000290,0.365176,-0.320137,1.370843,0.064136,-0.768577,1.366230,0.004613,0.393789,0.134194,0.114215,2.321485,1.191850,4.594146,368.149684
15800,4,0.000290,0.368867,-0.317100,1.372135,0.064116,-0.762424,1.367417,0.004718,0.394688,0.136831,0.118379,2.363417,1.173976,4.594173,367.784706
15900,4,0.000289,0.366270,-0.318145,1.368772,0.064146,-0.764402,1.364187,0.004586,0.392266,0.132871,0.124928,2.284685,1.141751,4.594335,367.408998
