step,epoch,lr,loss,loss_main,loss_aux,ed,nll,loss_sde,vol_mse,sde_acc,mean_mu,mean_sigma,eff_k,grad_norm,steps/s,eta_min,mean_nu,mean_mse,pred_mean_std
6050,13,0.000272,-10.302299,-0.716101,0.364469,0.071180,-0.764681,0.000001,0.364469,1.000000,0.016897,0.077331,1.000000,34.559429,11.193265,24.344997,2.361449,0.043300,0.010192
6100,13,0.000271,-9.961085,-0.709672,0.521210,0.072726,-0.761441,0.000001,0.521209,1.000000,0.015649,0.079256,1.000000,67.522607,11.194963,24.266866,2.333050,0.051351,0.010151
6150,13,0.000271,-10.473236,-0.722309,0.336697,0.071447,-0.772021,0.000001,0.336696,1.000000,0.015883,0.077517,1.000000,15.349039,11.196351,24.189429,2.372325,0.046629,0.008860
6200,13,0.000270,-10.375040,-0.721117,0.575240,0.071245,-0.769067,0.000001,0.575239,1.000000,0.016917,0.078646,1.000000,25.258928,11.197926,24.111607,2.317257,0.041091,0.009514
6250,13,0.000269,-10.511372,-0.718780,0.257522,0.071506,-0.766604,0.000001,0.257521,1.000000,0.017354,0.078388,1.000000,42.148817,11.199492,24.033828,2.329281,0.040239,0.009894
6300,14,0.000268,-10.363474,-0.719615,0.751455,0.071440,-0.767488,0.000001,0.751454,1.000000,0.017050,0.078482,1.000000,10.438335,11.195260,23.968477,2.327121,0.040509,0.011357
6350,14,0.000268,-9.041985,-0.720935,0.452872,0.071313,-0.769588,0.000002,0.452871,1.000000,0.014904,0.078985,1.000000,38.819806,11.196891,23.890560,2.318725,0.043324,0.009315
6400,14,0.000267,-10.005552,-0.719403,0.467041,0.071230,-0.766270,0.000002,0.467039,1.000000,0.017454,0.078238,1.000000,54.861695,11.198522,23.812667,2.363487,0.037507,0.010282
6450,14,0.000266,-10.442340,-0.726664,0.579043,0.070792,-0.774469,0.000001,0.579041,1.000000,0.017156,0.078287,1.000000,17.448603,11.200082,23.734945,2.329529,0.041364,0.010559
6500,14,0.000266,-10.169416,-0.725134,0.300733,0.071366,-0.775962,0.000001,0.300732,1.000000,0.017135,0.077890,1.000000,65.165241,11.201660,23.657208,2.379790,0.050484,0.011321
6550,14,0.000265,-10.454564,-0.703792,0.493847,0.072470,-0.752676,0.000002,0.493845,1.000000,0.015459,0.079420,1.000000,16.524678,11.203196,23.579581,2.324391,0.042163,0.009587
6600,14,0.000264,-10.574661,-0.720526,0.259626,0.071245,-0.768245,0.000001,0.259625,1.000000,0.016738,0.078404,1.000000,7.817379,11.204702,23.502038,2.324066,0.040319,0.009728
6650,14,0.000263,-10.384874,-0.722530,0.468428,0.070748,-0.770029,0.000001,0.468427,1.000000,0.017184,0.078348,1.000000,35.475226,11.206206,23.424521,2.345761,0.040416,0.010526
6700,14,0.000263,-10.507454,-0.729771,0.556871,0.070538,-0.777575,0.000001,0.556870,1.000000,0.015994,0.077992,1.000000,11.691464,11.207537,23.347385,2.357387,0.041782,0.009993
6750,15,0.000262,-10.535749,-0.728925,0.463719,0.070897,-0.778471,0.000002,0.463718,1.000000,0.017054,0.077487,1.000000,9.803390,11.203115,23.282215,2.400333,0.046992,0.011072
6800,15,0.000261,-10.522676,-0.723116,0.574928,0.071122,-0.770972,0.000001,0.574927,1.000000,0.017266,0.078824,1.000000,12.922008,11.204621,23.204712,2.330416,0.040984,0.011340
