step,loss,nll,crps,mean_mse,pred_mean_std,grad_norm,mean_nu,lr
11700,-2.555635,-1.234037,0.026189,0.015912,0.008433,12.521980,2.734208,0.000271
11750,-2.600732,-1.246712,0.026609,0.016896,0.008596,10.716595,2.774348,0.000271
11800,-2.526424,-1.233352,0.026595,0.016500,0.007125,13.063246,2.763242,0.000270
11850,-2.596215,-1.234567,0.026244,0.016227,0.007010,11.936117,2.755216,0.000270
11900,-2.527269,-1.226235,0.026482,0.016152,0.006458,13.754358,2.660068,0.000270
11950,-2.553585,-1.243236,0.026525,0.014870,0.007852,14.841275,2.670961,0.000269
12000,-2.531024,-1.240089,0.026262,0.015623,0.008167,13.195384,2.713139,0.000269
12050,-2.579208,-1.216449,0.027000,0.017483,0.008477,10.369024,2.756506,0.000269
12100,-2.523964,-1.221830,0.026785,0.016561,0.006476,15.328079,2.836542,0.000269
12150,-2.606719,-1.236238,0.026514,0.016274,0.007779,12.391764,2.696341,0.000268
12200,-2.521207,-1.222775,0.026653,0.017586,0.006774,9.792254,2.804555,0.000268
12250,-2.557427,-1.233423,0.026596,0.016854,0.006882,10.676930,2.680461,0.000268
12300,-2.584403,-1.227198,0.026423,0.015521,0.005565,10.096590,2.982465,0.000267
12350,-2.565179,-1.224056,0.026312,0.017500,0.007641,8.719219,2.759814,0.000267
12400,-2.554050,-1.246890,0.026374,0.015122,0.009143,10.790126,2.780425,0.000267
12450,-2.564225,-1.226622,0.026538,0.016451,0.010474,13.601366,2.712829,0.000266
12500,-2.559274,-1.264354,0.026260,0.016536,0.009994,11.947024,2.759651,0.000266
12550,-2.602086,-1.228362,0.027032,0.017756,0.009596,12.995291,2.671872,0.000266
12600,-2.572148,-1.230844,0.026222,0.015988,0.006693,13.389388,2.648346,0.000265
12650,-2.521911,-1.222278,0.026942,0.016155,0.007255,12.152166,2.722578,0.000265
12700,-2.535571,-1.236027,0.025896,0.015688,0.009180,11.767681,2.675080,0.000265
12750,-2.536483,-1.222321,0.026320,0.016607,0.008516,11.284821,2.675049,0.000265
12800,-2.562035,-1.222731,0.026340,0.016952,0.008191,9.772648,2.673227,0.000264
12850,-2.570220,-1.236311,0.026487,0.015507,0.007676,11.891471,2.595492,0.000264
12900,-2.531930,-1.232940,0.026970,0.016560,0.009016,10.496745,2.780265,0.000264
12950,-2.609405,-1.237631,0.026311,0.016733,0.009828,9.780312,2.797397,0.000263
13000,-2.582205,-1.252096,0.026304,0.015074,0.008506,12.965287,2.710607,0.000263
13050,-2.522641,-1.237660,0.026213,0.017704,0.009130,9.878579,2.692943,0.000263
13100,-2.594620,-1.242651,0.026147,0.016131,0.008825,8.996925,2.686714,0.000262
13150,-2.492923,-1.232010,0.026280,0.016601,0.009167,12.250023,2.647226,0.000262
13200,-2.530952,-1.213584,0.027062,0.017366,0.008414,10.312883,2.580972,0.000262
13250,-2.598214,-1.252193,0.025963,0.015851,0.008659,8.574239,2.748276,0.000261
13300,-2.542549,-1.230578,0.026286,0.016986,0.009874,10.100352,2.728780,0.000261
13350,-2.551800,-1.231777,0.026571,0.016872,0.009391,9.577800,2.669805,0.000261
13400,-2.591953,-1.243909,0.025391,0.015850,0.008840,9.705755,2.848295,0.000260
13450,-2.499934,-1.230238,0.026404,0.017625,0.009223,13.363862,2.738367,0.000260
13500,-2.536725,-1.215674,0.027264,0.018171,0.007977,10.112777,2.674317,0.000260
13550,-2.603975,-1.231122,0.027032,0.016368,0.007303,11.239028,2.641283,0.000259
13600,-2.578745,-1.265884,0.026074,0.014526,0.007333,14.169502,2.644540,0.000259
13650,-2.576764,-1.231138,0.026421,0.015463,0.006713,13.669104,2.734630,0.000259
13700,-2.559366,-1.240581,0.026168,0.015390,0.007568,9.925180,2.739746,0.000258
